Sensor1,Sensor2,Sensor3,Sensor4,Sensor5,Sensor6,Sensor7,Sensor8,Sensor9,Sensor10,Sensor11,Sensor12,Sensor13,Sensor14,Sensor15,Sensor16,Sensor17,Sensor18,Sensor19,Sensor20,Sensor21,Sensor22,Sensor23,Sensor24,Sensor25,Sensor26,Sensor27,Sensor28,Sensor29,Sensor30,Sensor31,Sensor32,Sensor33,Sensor34,Sensor35,Sensor36,Sensor37,Sensor38,Sensor39,Sensor40,Sensor41,Sensor42,Sensor43,Sensor44,Sensor45,Sensor46,Sensor47,Sensor48,Sensor49,Sensor50,Sensor51,Sensor52,Sensor53,Sensor54,Sensor55,Sensor56,Sensor57,Sensor58,Sensor59,Sensor60,Sensor61,Sensor62,Sensor63,Sensor64,Sensor65,Sensor66,Sensor67,Sensor68,Sensor69,Sensor70,Sensor71,Sensor72,Sensor73,Sensor74,Sensor75,Sensor76,Sensor77,Sensor78,Sensor79,Sensor80,Sensor81,Sensor82,Sensor83,Sensor84,Sensor85,Sensor86,Sensor87,Sensor88,Sensor89,Sensor90,Sensor91,Sensor92,Sensor93,Sensor94,label
0.00035829,0.9916638,0.015432099,2.58e-19,0.0,1,0.63048106,0.34324065,-0.010324484,0.0,0.0,0.0,0.0,0.028503291,0.47473806,0.9749514,0.016341733,0.20200053,0.4419836,0.0,0.0,0.0,0.0,0.0,0.18532093,0.17339829,1,0.3339201,0.06763357,0.4238932,0.69063705,0.049656734,0.110416465,0.11229428,0.84942317,0.16282354,0.2501992,0.0,0.013856244,0.0,0,0.097073495,0.7767331,0.33333334,0.0,0.039249193,0.8541386,0.28634128,0.28678775,0.99614334,0.6750779,0.8696695,0.001545524,0.003921569,0.058363438,0.016223034,0.4877452,0.03125,0.03641583,0.7499794,0.25039047,0.000210207,0.3475726,1.0,0.7879325,1.0,0.5412941,0.30508474,0.0990991,0.016680567,0.125,1.0,0.022850478,0.42857143,0.0,1.0,0.0,0.1269906,0,0.003021148,0.030303031,0.0,0.020833334,0.003083248,0.005154639,0.005102041,0.11024183,0.2052262,0.0856316,0.3450993,0.52971965,0.59855604,0.50488275,0.8333333,0
0.00035829,0.9917885,0.015432099,2.58e-19,3.59e-07,1,0.6297882,0.39932886,0.0759587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.016821036,0.54931813,0.1104883,0.11399949,0.901821,0.19847731,0.25037074,0.0,0.0,0.0,0,0.097086534,0.0,0.6666667,0.0,0.037958067,0.85856247,0.28634128,0.37331796,0.9985712,0.7626762,0.87233794,0.001063773,0.003921569,0.018422607,0.019397523,0.48773348,0.03125,0.033301316,0.74998784,0.3221634,0.00058901,0.31818354,1.0,0.7879325,1.0,0.4180523,0.30508474,0.0990991,0.016680567,0.125,1.0,0.051662385,0.42857143,0.0,1.0,0.000408198,0.1269906,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.00035829,0.991667,0.015432099,2.58e-19,3.54e-07,1,0.63048106,0.38842282,0.059826694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.050444722,0.38251024,0.11047468,0.11361314,0.8528611,0.18899459,0.25037736,0.0,0.0,0.0,0,0.09706218,0.0,0.6666667,0.0,0.036694437,0.85456496,0.28634128,0.3687433,0.9982902,0.7626762,0.8723327,0.011200135,0.003921569,0.054360446,0.020182425,0.48819914,0.03125,0.033540897,0.749992,0.2774573,0.000534519,0.31891522,1.0,0.7879325,1.0,0.2982291,0.3559322,0.0990991,0.016680567,0.125,1.0,0.04491725,0.42857143,0.0,1.0,0.0,0.1269906,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.00035829,0.991701,0.015432099,2.58e-19,3.58e-07,1,0.6298991,0.4032918,0.082153395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.05006088,0.57778865,0.1103976,0.11397755,0.89149266,0.23067191,0.25037515,0.0,0.0,0.0,0,0.097086534,0.0,0.6666667,0.0,0.05365899,0.85838044,0.28634128,0.6009809,0.9985677,0.7626762,0.8723344,0.002087873,0.003921569,0.05480795,0.020167887,0.48770922,0.9375,0.9988,0.74999064,0.32089156,0.000606384,0.31458637,1.0,0.7879325,1.0,0.14721546,0.20338982,0.0990991,0.2618849,0.125,1.0,0.053185105,0.42857143,0.4255215,1.0,0.3791733,0.1269906,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.00035829,0.9919018,0.015432099,2.58e-19,0.0,1,0.6314511,0.37919462,0.04498525,0.0,0.0,0.0,0.0,0.04057517,0.6788812,0.980743,0.00058109,0.35187182,0.56247026,0.81277853,0.002791352,0.0,0.0,0.0,0.31890845,0.069897436,1,0.10014419,0.10402237,0.41567042,0.2805844,0.40514812,0.11036404,0.11358044,0.75989217,0.23685183,0.24905111,0.0,0.000895151,0.0,0,0.097039856,0.9454924,0.6666667,0.0,0.03689159,0.85587955,0.28634128,0.3662249,0.9963665,0.6525403,0.86924416,0.042295866,0.003921569,0.30723855,0.020943347,0.48930776,0.03125,0.037853297,0.74699354,0.2786921,0.000220167,0.2917165,1.0,0.7879325,1.0,0.33826008,0.30508474,0.0990991,0.016680567,0.125,1.0,0.025228467,0.0,0.001521192,1.0,0.000766114,0.1269906,0,0.008056395,0.02020202,0.0,0.020833334,0.003083248,0.0,0.005102041,0.13427043,0.005862079,0.033258453,0.4922847,0.48404834,0.31417623,0.4998815,0.712963,0
0.00035829,0.9917672,0.015432099,2.58e-19,0.0,1,0.6302626,0.3704577,0.03154482,0.0,0.0,0.0,0.0,0.0,0.66699517,0.98173934,0.000255853,0.5812616,0.5647649,0.0,0.003550764,0.0,0.0,0.0,0.2362373,0.01879698,1,0.5204215,0.10976186,0.42136106,0.24551095,0.38080275,0.11038021,0.110614315,0.7642067,0.34084105,0.25079614,0.72089386,0.0,0.30041137,0,0.000145277,0.0,0.6666667,0.0,0.03811115,0.85531145,0.28634128,0.23209648,0.9961799,0.6665249,0.8723476,0.019620517,0.003921569,0.48596805,0.016863152,0.48947784,0.9375,0.9988,0.7478385,0.27028736,0.000256977,0.33947483,1.0,0.7879325,1.0,0.38577032,0.5084746,0.0990991,0.27606338,0.4375,1.0,0.019792704,0.42857143,0.4261619,1.0,0.3659815,0.1269906,0,0.0,0.030303031,0.015151516,0.020833334,0.003083248,0.005154639,0.005102041,0.0666894,0.004707358,0.24971408,0.44337517,0.38241687,0.25377503,0.3338087,0.712963,0
0.00035829,0.9918381,0.015432099,2.58e-19,3.59e-07,1,0.63048106,0.37080538,0.032079645,0.0,0.0,0.0,0.0,0.4239519,0.474469,0.96945715,0.00134648,0.2107363,0.44605014,0.0,0.0,0.0,0.0,0.0,0.057817332,0.00661236,1,0.415126,0.07239337,0.41563973,0.05160524,0.044200797,0.1103906,0.1134823,0.87275356,0.1801291,0.24805643,0.0,0.0,0.0,0,0.09708757,0.697947,0.33333334,0.9593496,0.057079233,0.8552448,0.28634128,0.44423684,0.9972404,0.7626762,0.8728352,0.010658437,0.003921569,0.056534544,0.015899546,0.48733982,0.03125,0.035936672,0.7476212,0.26162815,0.000508038,0.32630482,1.0,0.7879325,1.0,0.57713646,0.37288135,0.0990991,0.016680567,0.125,1.0,0.109002285,0.42857143,0.0,1.0,0.000306149,0.1269906,0,0.093655586,0.14141414,0.04040404,0.010416667,0.023638232,0.020618556,1.0,0.21199454,0.4309803,0.15542854,0.38982463,0.42493868,0.75960577,0.062496837,0.8333333,0
0.00035829,0.9922992,0.015432099,2.58e-19,0.0,1,0.6299961,0.3464765,-0.005346608,0.0,0.0,0.0,0.0,0.028503291,0.5379318,0.9748149,0.016011633,0.2522327,0.4802671,0.0,0.0,0.0,0.0,0.0,0.010561606,0.16115072,1,0.3675617,0.06890819,0.42381763,0.70227885,0.0596281,0.11060634,0.11243742,0.8268203,0.16213693,0.24987502,0.0,0.013997418,0.0,0,0.097073495,0.7767331,0.33333334,0.0,0.039041705,0.8541327,0.28634128,0.28067464,0.9960744,0.6834188,0.8686855,0.000858321,0.003921569,0.07113226,0.016447058,0.48798168,0.03125,0.03641583,0.749992,0.24875103,0.000209565,0.3380162,1.0,0.7879325,1.0,0.5580124,0.3559322,0.0990991,0.016680567,0.125,1.0,0.022647811,0.42857143,0.0,1.0,0.0,0.1269906,0,0.003021148,0.030303031,0.0,0.020833334,0.003083248,0.005154639,0.005102041,0.11999455,0.20630097,0.0856316,0.3926996,0.5511938,0.66632384,0.50488275,0.79680365,0
0.00035829,0.99163353,0.015432099,2.58e-19,0.0,1,0.63048106,0.39177853,0.06434366,0.0,0.0,0.0,0.0,0.7062832,0.4745481,0.980402,0.000663483,0.2943544,0.44254237,0.7700001,0.002504005,0.0,0.0,0.0,0.03209625,0.09588634,1,0.39382976,0.062196147,0.41554874,0.10058518,0.25097564,0.11029635,0.11360806,0.8075839,0.21648502,0.24962823,0.0,0.000406888,0.0,0,0.097039856,0.9454924,0.6666667,0.0,0.036186863,0.85594445,0.28634128,0.35270786,0.99638826,0.67859733,0.8701331,0.018811539,0.003921569,0.110305026,0.0202387,0.4892973,0.28125,0.30378467,0.74768186,0.27118334,0.00022198,0.28810754,1.0,0.7879325,1.0,0.26103684,0.7627119,0.0990991,0.037531275,0.125,1.0,0.02536598,0.85714287,0.85211796,1.0,0.7548734,0.1269906,0,0.003021148,0.032323234,0.0,0.020833334,0.008221994,0.005154639,0.005102041,0.09100925,0.39846605,0.033258453,0.30132568,0.035279337,0.023071688,0.013465578,0.8333333,0
0.00035829,0.99168646,0.015432099,2.58e-19,3.58e-07,1,0.6299268,0.38015342,0.04498525,0.0,0.0,0.0,0.0,0.33334634,0.4316522,0.88156855,0.001376638,0.18903296,0.44590136,0.0,0.0,0.0,0.0,0.0,0.06308693,0.008234174,1,0.18443033,0.07421395,0.37778032,0.10646295,0.62610036,0.110457815,0.113476165,0.7618602,0.21339332,0.24833852,0.0,0.0,0.0,0,0.09708757,0.0,0.6666667,0.9593496,0.06323308,0.8554093,0.28634128,0.51112974,0.99726564,0.7626762,0.8729071,0.025066245,0.003921569,0.11664498,0.016432343,0.48741037,0.03125,0.03641583,0.7470567,0.26147798,0.000506642,0.33576944,1.0,0.7879325,1.0,0.5754169,0.2881356,0.0990991,0.01584654,0.125,1.0,0.10994336,0.42857143,0.0,1.0,0.0,0.1269906,0,0.093655586,0.14141414,0.04040404,0.010416667,0.023638232,0.020618556,1.0,0.21045156,0.23116468,0.15542854,0.30829385,0.24396645,0.27715355,0.062496837,0.8333333,0
