
          tp     tn  fn    fp       tpr       fpr   min_dis       auc
Label0     8   1564   4   129  0.666667  0.076196  0.192477  0.923755
Label1    30   1533   2   279    0.9375  0.153974  0.163621  0.945744
Label2    61   6419  11  1408  0.847222   0.17989  0.223166  0.910339
Label3    39   1258   3  1102  0.928571  0.466949  0.351366  0.832264
Label4    39   2316  18  1024  0.684211  0.306587  0.428624  0.761703
Label5    86   9827  13  2561  0.868687  0.206732  0.230188  0.909124
Label6   273  11005  99  8677  0.733871   0.44086  0.497396  0.721404
Label7    15    797   9   201     0.625  0.201403  0.395107  0.749081
Label8    16   5154   1   431  0.941176  0.077171  0.087264  0.970162
Label9    10   1098   1    24  0.909091   0.02139  0.023173  0.995544
Label10   63   7008  21  2568      0.75   0.26817   0.35716  0.821973
         tp    tn  fn    fp       tpr       fpr   min_dis       auc
Label0    2  1172   5   163  0.285714  0.122097   0.65231  0.556768
Label1    0    86   0     2       0.0  0.022727      None      None
Label2    2  1704   9   310  0.181818  0.153923  0.459088  0.666471
Label3    6   410   1   350  0.857143  0.460526  0.465789  0.705075
Label4    7  1256  19   363  0.269231  0.224212  0.463615  0.672495
Label5   12  2596   4   610      0.75  0.190268  0.233948  0.841547
Label6   78  3771  26  2981      0.75  0.441499  0.481455  0.697743
Label7    9   202   7   101    0.5625  0.333333  0.471551  0.605404
Label8    0   351   1    11       0.0  0.030387  0.044199  0.955801
Label9    0   494   2     4       0.0  0.008032  0.028112  0.980924
Label10   1   594   2    61  0.333333   0.09313  0.356607  0.668702
         tp    tn  fn    fp       tpr       fpr   min_dis       auc
Label0    2  1187   5   148  0.285714  0.110861    0.6428  0.551525
Label1    0    86   0     2       0.0  0.022727      None      None
Label2    3  1725   8   289  0.272727  0.143496  0.419114  0.698881
Label3    5   409   2   351  0.714286  0.461842  0.465789  0.647932
Label4    7  1278  19   341  0.269231  0.210624  0.493188  0.638119
Label5   13  2589   3   617    0.8125  0.192452  0.210372  0.834139
Label6   67  3714  37  3038  0.644231  0.449941  0.567465  0.675195
Label7    8   201   8   102       0.5  0.336634   0.56017  0.603754
Label8    1   351   0    11       1.0  0.030387  0.022099  0.977901
Label9    1   496   1     2       0.5  0.004016  0.016064  0.990964
Label10   1   584   2    71  0.333333  0.108397  0.362914  0.661069

---------------------------------------------------------------------

        tp     tn   fn  fp       tpr       fpr   min_dis       auc
Label0   0   1686   12   7       0.0  0.004135  0.690806   0.47342
Label1   0   1811   32   1       0.0  0.000552  0.695882  0.482926
Label2   0   7809   72  18       0.0    0.0023  0.763191   0.44719
Label3   0   2352   42   8       0.0   0.00339  0.701161  0.493473
Label4   0   3340   57   0       0.0       0.0   0.74885   0.45073
Label5   0  12354   99  34       0.0  0.002745  0.716308  0.459859
Label6   0  19641  372  41       0.0  0.002083  0.700804  0.482523
Label7   0    998   24   0       0.0       0.0  0.695278  0.462091
Label8   1   5552   16  33  0.058824  0.005909  0.712958  0.459466
Label9   0   1112   11  10       0.0  0.008913  0.644424  0.512154
Label10  1   9565   83  11  0.011905  0.001149  0.651134  0.539099

        tp     tn   fn   fp       tpr       fpr   min_dis       auc
Label0   1   1692   11    1  0.083333  0.000591  0.490764  0.654312
Label1   0   1812   32    0       0.0       0.0  0.664838    0.5506
Label2   0   7810   72   16       0.0  0.002044  0.609692  0.566014
Label3   0   2350   42   10       0.0  0.004237  0.638464  0.528027
Label4   0   3338   57    2       0.0  0.000599  0.659391  0.530297
Label5   0  12382   99    5       0.0  0.000404  0.677068  0.510048
Label6   6  19540  366  142  0.016129  0.007215  0.689436  0.509922
Label7   0    994   24    4       0.0  0.004008  0.759692  0.409486
Label8   0    377    0    8       0.0  0.020779      None      None
Label9   0     25    4    7       0.0   0.21875       0.5  0.578125
Label10  1     93   11    3  0.083333   0.03125   0.63499  0.492188

        tp     tn   fn  fp       tpr       fpr   min_dis       auc
Label0   0   1689   12   4       0.0  0.002363  0.647683  0.512109
Label1   0   1811   32   1       0.0  0.000552  0.686168  0.500034
Label2   0   7816   72  11       0.0  0.001405  0.797688  0.403181
Label3   0   2352   42   8       0.0   0.00339  0.693796  0.500979
Label4   0   3340   57   0       0.0       0.0  0.725618   0.44793
Label5   1  12343   98  45  0.010101  0.003633  0.697507  0.471372
Label6   0  19617  372  65       0.0  0.003303   0.71556  0.487599
Label7   0    997   24   1       0.0  0.001002  0.732411  0.434202
Label8   0   5585   17   0       0.0       0.0  0.712663  0.455464
Label9   0   1121   11   1       0.0  0.000891  0.607072  0.568952
Label10  0   9571   84   5       0.0  0.000522  0.636973  0.579927

